title,studio,domestic_gross,foreign_gross,year,domestic_gross_mil,foreign_gross_mil,worldwide_gross_mil,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,primary_genre
Toy Story 3,BV,415000000.0,652000000.0,2010,415.0,652.0,1067.0,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218,"Adventure,Animation,Comedy"
Inception,WB,292600000.0,535700000.0,2010,292.6,535.7,828.3000000000001,tt1375666,Inception,Inception,2010,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,"Action,Adventure,Sci-Fi"
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,238.7,513.9,752.5999999999999,tt0892791,Shrek Forever After,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",6.3,167532,"Adventure,Animation,Comedy"
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,300.5,398.0,698.5,tt1325004,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",5.0,211733,"Adventure,Drama,Fantasy"
Iron Man 2,Par.,312400000.0,311500000.0,2010,312.4,311.5,623.9,tt1228705,Iron Man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",7.0,657690,"Action,Adventure,Sci-Fi"
Tangled,BV,200800000.0,391000000.0,2010,200.8,391.0,591.8,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,"Adventure,Animation,Comedy"
Despicable Me,Uni.,251500000.0,291600000.0,2010,251.5,291.6,543.1,tt1323594,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",7.7,464511,"Animation,Comedy,Family"
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,217.6,277.3,494.9,tt0892769,How to Train Your Dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299,"Action,Adventure,Animation"
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,104.4,311.3,415.70000000000005,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",6.3,129663,"Adventure,Family,Fantasy"
The King's Speech,Wein.,135500000.0,275400000.0,2010,135.5,275.4,410.9,tt1504320,The King's Speech,The King's Speech,2010,118.0,"Biography,Drama,History",8.0,593629,"Biography,Drama,History"
The Karate Kid,Sony,176600000.0,182500000.0,2010,176.6,182.5,359.1,tt1155076,The Karate Kid,The Karate Kid,2010,140.0,"Action,Drama,Family",6.2,146401,"Action,Drama,Family"
Prince of Persia: The Sands of Time,BV,90800000.0,245600000.0,2010,90.8,245.6,336.4,tt0473075,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",6.6,254975,"Action,Adventure,Fantasy"
Black Swan,FoxS,107000000.0,222400000.0,2010,107.0,222.4,329.4,tt0947798,Black Swan,Black Swan,2010,108.0,"Drama,Thriller",8.0,648854,"Drama,Thriller"
Megamind,P/DW,148400000.0,173500000.0,2010,148.4,173.5,321.9,tt1001526,Megamind,Megamind,2010,95.0,"Action,Animation,Comedy",7.3,207488,"Action,Animation,Comedy"
Robin Hood,Uni.,105300000.0,216400000.0,2010,105.3,216.4,321.7,tt0955308,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",6.6,239480,"Action,Adventure,Drama"
The Last Airbender,Par.,131800000.0,187900000.0,2010,131.8,187.9,319.70000000000005,tt0938283,The Last Airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family",4.1,137734,"Action,Adventure,Family"
Little Fockers,Uni.,148400000.0,162200000.0,2010,148.4,162.2,310.6,tt0970866,Little Fockers,Little Fockers,2010,98.0,"Comedy,Romance",5.5,99222,"Comedy,Romance"
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,60.1,240.1,300.2,tt1220634,Resident Evil: Afterlife,Resident Evil: Afterlife,2010,96.0,"Action,Adventure,Horror",5.9,153270,"Action,Adventure,Horror"
Shutter Island,Par.,128000000.0,166800000.0,2010,128.0,166.8,294.8,tt1130884,Shutter Island,Shutter Island,2010,138.0,"Mystery,Thriller",8.1,1005960,"Mystery,Thriller"
Salt,Sony,118300000.0,175200000.0,2010,118.3,175.2,293.5,tt0944835,Salt,Salt,2010,100.0,"Action,Mystery,Thriller",6.4,277204,"Action,Mystery,Thriller"
Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,95.3,193.0,288.3,tt1261945,Sex and the City 2,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",4.4,69199,"Comedy,Drama,Romance"
The Tourist,Sony,67600000.0,210700000.0,2010,67.6,210.7,278.29999999999995,tt1243957,The Tourist,The Tourist,2010,103.0,"Action,Adventure,Thriller",6.0,206714,"Action,Adventure,Thriller"
The Expendables,LGF,103100000.0,171400000.0,2010,103.1,171.4,274.5,tt1320253,The Expendables,The Expendables,2010,103.0,"Action,Adventure,Thriller",6.5,307897,"Action,Adventure,Thriller"
Grown Ups,Sony,162000000.0,109400000.0,2010,162.0,109.4,271.4,tt1375670,Grown Ups,Grown Ups,2010,102.0,Comedy,6.0,210377,Comedy
True Grit,Par.,171200000.0,81000000.0,2010,171.2,81.0,252.2,tt1403865,True Grit,True Grit,2010,110.0,"Adventure,Drama,Western",7.6,284034,"Adventure,Drama,Western"
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,42.8,194.6,237.39999999999998,tt1320261,Gulliver's Travels,Gulliver's Travels,2010,85.0,"Adventure,Comedy,Family",4.9,61178,"Adventure,Comedy,Family"
The Social Network,Sony,97000000.0,128000000.0,2010,97.0,128.0,225.0,tt1285016,The Social Network,The Social Network,2010,120.0,"Biography,Drama",7.7,568578,"Biography,Drama"
Valentine's Day,WB (NL),110500000.0,106000000.0,2010,110.5,106.0,216.5,tt0817230,Valentine's Day,Valentine's Day,2010,125.0,"Comedy,Romance",5.7,107171,"Comedy,Romance"
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,63.2,152.1,215.3,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family",6.1,143862,"Action,Adventure,Family"
Due Date,WB,100500000.0,111200000.0,2010,100.5,111.2,211.7,tt1231583,Due Date,Due Date,2010,95.0,"Adventure,Comedy",6.5,303523,"Adventure,Comedy"
Eat Pray Love,Sony,80600000.0,124000000.0,2010,80.6,124.0,204.6,tt0879870,Eat Pray Love,Eat Pray Love,2010,133.0,"Drama,Romance",5.8,77709,"Drama,Romance"
Yogi Bear,WB,100200000.0,101300000.0,2010,100.2,101.3,201.5,tt1302067,Yogi Bear,Yogi Bear,2010,80.0,"Adventure,Animation,Comedy",4.6,18934,"Adventure,Animation,Comedy"
Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,84.8,92.8,177.6,tt1536044,Paranormal Activity 2,Paranormal Activity 2,2010,91.0,Horror,5.7,93122,Horror
The A-Team,Fox,77200000.0,100000000.0,2010,77.2,100.0,177.2,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256,"Action,Adventure,Thriller"
The Other Guys,Sony,119200000.0,51200000.0,2010,119.2,51.2,170.4,tt1386588,The Other Guys,The Other Guys,2010,107.0,"Action,Comedy,Crime",6.7,221664,"Action,Comedy,Crime"
Unstoppable,Fox,81600000.0,86200000.0,2010,81.6,86.2,167.8,tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",6.8,173019,"Action,Thriller"
The Book of Eli,WB,94800000.0,62300000.0,2010,94.8,62.3,157.1,tt1037705,The Book of Eli,The Book of Eli,2010,118.0,"Action,Adventure,Drama",6.9,271307,"Action,Adventure,Drama"
